Date,MMM,ABT,ABBV,ACN,ATVI,ADBE,ADP,AAP,AFL,A,AIG,APD,AKAM,ALK,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMD,AEE,AAL,AEP,AXP,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,AOS,AON,APA,AAPL,AMAT,APTV,ACGL,ADM,ANET,AJG,AIZ,T,ATO,ADSK,AZO,AVB,AVY,BKR,BALL,BAC,BK,BBWI,BAX,BDX,BRK-B,BBY,BIO,TECH,BIIB,BLK,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,BF-B,BRO,BG,CDNS,CZR,CPT,CPB,COF,CAH,KMX,CCL,CARR,CTLT,CAT,CBOE,CBRE,CDW,CE,CNC,CNP,CDAY,CF,CHRW,CRL,CHTR,CVX,CMG,CB,CHD,CI,CINF,CTAS,CSCO,C,CFG,CLX,CME,CMS,KO,CTSH,CL,CMCSA,CMA,CAG,COP,ED,STZ,CEG,COO,CPRT,GLW,CTVA,CSGP,COST,CTRA,CCI,CSX,CMI,CVS,DHR,DRI,DVA,DE,DAL,XRAY,DVN,DXCM,FANG,DLR,DFS,DISH,DG,DLTR,D,DPZ,DOV,DOW,DHI,DTE,DUK,DD,DXC,EMN,ETN,EBAY,EC,EIX,EW,EA,ELV,LLY,EMR,ENPH,ETR,EOG,EPAM,EQT,EFX,EQR,ESS,EL,ETSY,RE,EVRG,ES,EXC,EXPE,EXPD,EXR,XOM,FFIV,FDS,FICO,FAST,FRT,FDX,FIS,FITB,FRC,FSLR,FE,FISV,FLT,FMC,F,FTNT,FTV,FOXA,FOX,BEN,FCX,GRMN,IT,GEHC,GEN,GNRC,GD,GE,GIS,GM,GPC,GILD,GPN,GL,GS,HAL,HIG,HAS,HCA,PEAK,HSIC,HSY,HES,HPE,HLT,HOLX,HD,HON,HRL,HST,HWM,HPQ,HUM,HBAN,HII,IBM,ICE,IDEX,IDXX,IFF,ITW,ILMN,INCY,IR,PODD,INTC,IP,INTU,ISRG,IVZ,INVH,IPG,IQV,IRM,JNJ,JKHY,J,JBHT,SJM,JCI,JPM,JNPR,K,KDP,KEY,KEYS,KMB,KIM,KMI,KLAC,KHC,KR,LHX,LH,LRCX,LW,LVS,LDOS,LEN,LNC,LIN,LYV,LKQ,LMT,L,LOW,LYB,MTB,MRO,MPC,MKTX,MAR,MMC,MLM,MAS,MA,MTCH,MKC,MCD,MCK,MDT,MRK,META,MET,MTD,MGM,MCHP,MU,MSFT,MAA,MRNA,MHK,MOH,TAP,MDLZ,MPWR,MNST,MCO,MS,MOS,MSI,MSCI,NDAQ,NTAP,NFLX
2021-07-28,2139100,3796100,5650400,2006300,13160400,1468100,2065500,496400,2784900,2179700,2956000,654400,678000,1586200,774900,1064800,547900,702900,1226600,1083300,95130000,54688000,5425000,59988000,140561000,737000,20077400,2936800,7961700,1636000,484800,532300,553700,467200,1649100,4609900,3632400,221300,832100,6286300,4937100,118931200,5041900,1319400,2041300,3210200,896800,1170000,235300,42069835,494600,1024400,110300,604700,1185400,8987000,1032300,43331100,6609600,3401255,4563800,673835,3794000,1404400,98500,566400,713600,389200,19330500,302200,879300,1292300,8168100,11625900,835900,376900,601300,1498800,2770400,1428400,2884700,695800,2038200,2314800,1614300,518500,27108200,5156200,579700,3246900,470700,1991400,544300,348500,3879400,3128600,386300,1442600,2734300,234700,553500,8546100,261500,1991900,941700,1912500,530800,302500,18835700,20275900,10288200,992400,1124600,1846900,9858000,3806300,3110700,13239600,1297000,3641700,6167200,1513200,731500,,177100,1393200,3639600,2819800,7182800,1362700,4833600,961400,10612200,2063900,3281900,2148400,2694500,627000,1250400,7538600,1330300,6879300,1762000,2753200,765300,1347400,2341600,1059300,1667100,2358700,546000,1273800,4113600,2485700,977100,2144700,3575800,1204600,717000,1890700,5141000,525900,1384900,1592800,1353700,778000,1688000,1742400,3610600,640000,3546100,199200,3654100,601900,2267800,302100,652800,1688400,279600,1054700,1465600,5365594,1018000,1023900,871700,16855300,748500,107000,149900,2512200,395000,2732100,2202400,4898100,,2115900,3265500,3925900,584800,433600,70653500,4005500,3038000,1843800,951700,3177200,14851500,1082600,275000,,3830400,2889900,1267600,10979499,2844500,10549200,642700,7097200,1679100,331600,1668900,12236800,1478800,1437600,1106400,2993100,799400,1075800,2467100,6465900,2225300,2933900,2376200,1713900,1408500,6231500,3406100,5932900,2405600,11276000,122300,2660815,1672400,7651500,280900,774200,728100,390900,1212800,2343300,189100,28478800,2560378,694700,971400,6969500,4565600,4612500,1168900,1201300,5750700,443900,413700,403700,785000,3952300,9217300,9859000,1697900,4113200,9908300,663300,2133900,5626200,11901900,646800,3461100,3897300,524800,540100,1216000,2962000,13116200,595800,1330800,824000,1063500,1176800,2040400,775200,609600,2152500,1222800,1024800,15957200,3196500,165100,1649200,2798300,803600,2156600,3372600,1737400,972800,4948500,975000,4317200,11037900,29676900,3801100,78400,5111200,3511000,14348300,33566900,844200,13091600,319700,293700,2032900,9224500,581500,3049600,866500,10054000,2728500,551500,261000,1785000,818800,2390500
2021-07-29,2120200,3925500,4632200,1863800,10839500,1068900,1236900,452700,4449000,1527300,3492500,422500,986100,1423400,2550000,613800,1576500,576900,731200,1003800,31716000,19284000,8281800,110400000,164091800,717600,19391300,1950400,3186900,1768200,406100,556700,590300,544200,1498900,3539500,3164400,197800,979100,4679500,6301700,56699500,5382600,1309400,4177400,2023300,941600,1147500,287600,42129018,392900,1457500,142300,416400,436900,5337600,1093200,43039100,4450400,3077532,7327400,948433,3543600,1386700,103500,252800,660200,335200,8667900,283500,1342000,618500,5214500,8963700,916200,501300,598000,925500,1374400,1038600,1850800,713100,1610700,2587900,1185400,725000,26426800,6166600,747000,3419700,534000,1887500,412400,529800,2682000,3253400,362600,1604800,1174100,225500,847100,8681300,210300,1676000,943200,1202800,852800,432900,10680200,22261700,7603500,1028700,854300,1209800,9599100,7392200,3974400,19769600,1470100,2925900,6306400,1381500,938300,,246200,1167200,3680600,2394500,2593500,1434200,9936400,1219900,6283000,1522500,4284700,1780000,1591900,533000,1392600,8357400,886100,6009800,2992400,1479200,1613800,1264400,1155900,1000300,1311000,2053500,449500,566700,3708600,2633300,983600,1477900,4056900,1190700,535300,1224800,4963100,507800,1581900,3439000,1643100,708100,1924100,2445600,2035000,558200,4442900,173100,17248800,459200,1256400,308800,843700,1429300,373500,1085100,1456100,4389802,1139900,958000,524000,18607800,548300,107200,233500,2416700,486000,1820800,2211700,4189500,,1650600,2632600,2881900,506300,774000,111154800,4835000,4176600,2860500,1313600,4436500,23065900,660900,379800,,5917700,1514500,1147800,8691025,2308000,15439000,740900,7597500,1490700,343800,1296600,6322700,2534100,970400,1092700,3489900,435700,1138900,1874000,6440900,3619700,4359400,2172400,1501900,931200,6548500,1839000,6496400,1381900,14698900,144900,2793761,3461600,4171300,465800,720400,897700,488000,1534500,2535700,173300,16886600,3546259,627400,949200,3694500,3272900,5398000,585800,1302800,4214100,264300,575100,326400,751500,3377900,9063500,5310300,1352400,4452400,10000800,829800,1695800,6745500,13284900,1119100,3204100,4962400,620200,1181200,2913900,2976900,16281600,822200,3034200,720500,1295000,1519300,3624500,754800,507900,2532800,1323200,1040400,14516700,3210800,188700,2612500,1780100,497400,3354000,3774000,911400,870500,2572300,602400,3195600,11583000,33413200,3097700,110400,5826900,2499800,14529400,18168300,711300,10100700,529300,546000,3191800,7636500,798500,2538800,792700,9016200,3178100,526800,260700,1694700,979500,1736000
2021-07-30,1910300,4688800,9017200,2305400,7055900,1403400,1533800,434600,3435000,2310100,4695600,570600,851000,2072600,1556400,937500,967500,571800,932500,1423800,25576000,23954000,7104800,199312000,125632000,939700,31284000,3601700,3441900,1762200,631200,457100,780800,945600,2284100,2475000,2678800,314200,1110900,3738000,6003400,70440600,8556400,1304000,2488500,3612000,1438000,1434600,273500,49652913,1208500,1311500,132200,784100,342000,11243900,1189800,46210100,4527700,3723617,7506600,1021003,3607400,1752900,293400,304000,942800,503700,9940100,276700,1841500,926300,9108200,10008000,1154800,403900,1465700,1756500,1317400,1478600,2970800,704600,3388000,2661400,4612000,616700,36760800,6506800,920100,5834900,876800,1670300,670800,534100,3820600,6769300,492200,4314300,1566100,405600,1374600,12295300,261700,2158300,2328600,1782600,1181500,443100,13438800,18078200,6188600,1291400,979000,1685000,11727000,3393500,9513700,22478300,1352100,6274200,8660100,4354200,744900,,178300,1735200,3237400,2116200,1943000,2283900,8178100,1802800,7802700,1061600,5996300,2230000,1778600,689700,1053900,12202300,1255100,9262000,9673200,2085100,1819400,1328200,1832100,1098800,1317300,3339000,348800,1122600,4646800,3389300,643000,2567700,2356000,1294500,575000,1502000,11995300,608500,4615600,3518100,2825200,999300,1905100,2807100,2351800,1161400,4708500,137800,8770500,378100,2843600,690700,718900,4757100,346400,2449500,2082900,5109589,1426600,1637700,765500,28652800,457700,280400,154300,3835600,1576800,2337200,1595900,8250800,,3767100,6733400,3441800,453000,763300,74955700,9331500,5504500,2496100,1921200,7147800,15910600,748400,443500,,4598700,803800,907500,9617540,3325600,13185500,1766500,9619700,2135500,472000,1474900,8744200,2265200,1622600,1283600,4661200,631900,788400,1606600,8153700,1849500,2676600,2381200,2237300,1646000,4660400,1729500,6815000,1193800,13944100,218800,3698238,2381300,7751300,697200,738000,1558800,497800,1497300,2133400,258300,16465700,3658195,905300,1239000,7902500,2964600,6122100,967000,2611700,5346400,211100,403400,493400,1238400,3910900,9805200,4373400,4524900,4365400,8863200,1047200,2687200,6757500,19733200,2656900,4858900,9505400,743400,645800,1651100,921800,7717700,576800,2035600,2602900,2516600,1479700,1523700,798600,601700,2841600,2249700,905400,12413300,3642500,238700,2115900,2145700,405300,3146700,2533300,1359700,1402400,2336800,879000,2740000,13004500,15976200,4045200,140000,6636100,3442000,12528900,20944800,663100,11345700,888400,480600,1704500,6402600,462200,3352800,896400,8320800,6078900,656100,279100,1849200,1161000,2537100
2021-08-02,1332500,3646100,9245500,1507200,6225000,1466800,1459000,515000,3199000,1438300,2779100,550500,1097700,2440100,1109900,614400,871600,747500,928400,1022200,21634000,20140000,5852000,67078000,115581900,746100,27151300,2309300,2895700,1219300,621800,444100,816300,1013200,1849400,3237600,2822000,414700,616400,1608900,6985200,62880000,10230600,1360300,3166400,2152400,2573600,996300,323700,43086667,502700,914000,150300,588600,534300,8021100,1350900,49894000,5429300,5282856,3352200,771415,3091200,1302500,145500,566000,962600,386100,8889100,252700,1445600,514400,10041100,6562100,1561900,286900,772200,1778300,1150000,834900,2062200,458900,3087000,3934600,2136400,1028200,34093900,4010800,725600,3977100,392600,1032800,575300,572700,4271700,4557400,821300,2771900,1040900,408700,727400,8911800,204700,2584000,1627000,1389100,603500,347600,12468800,16616700,5125800,1507600,1306700,1386500,9778000,3783900,5339300,11634300,1595000,4299000,8469500,1495600,765400,,211600,1847000,4090000,1803300,1739300,1366900,8761000,1104900,6722600,1220200,4679000,1195200,1538800,656400,1148300,11084800,1247800,8739200,2854000,2854500,862300,1810900,1485300,1230500,1749600,2779700,330000,694700,3714500,2580300,924400,3392300,2642600,6731200,479000,1372200,6785100,981300,1737200,2274800,2054200,803400,1958900,1970300,2230600,1678400,5653200,138100,10886300,459600,1906400,366600,1059700,2651500,370300,922500,1267400,5409757,1782500,1027800,995500,20873800,593500,188500,199500,2690900,547500,2490400,8891500,6345100,,2536600,3467900,7416500,503800,821200,64673700,10210500,5490600,2300800,912800,3806600,21801100,465200,864700,,2517500,1273400,1038400,31878326,3720500,12397500,627200,4242800,8546900,399100,2383200,10261800,1660400,637500,1171900,2794100,1077500,701500,2016300,7937000,2154700,1776100,2016400,2025300,1036600,6920300,1853600,8016500,957500,12912200,135600,3064257,1993200,7153800,354600,1063600,884000,424900,1361000,1876900,243400,18098100,2282544,857400,934800,4200400,2395500,3596900,807000,1024600,3721500,348000,1007700,450300,535800,2436900,10203200,4283300,2176800,10144800,7933800,848400,1587600,5753500,16949300,1128200,4207700,5233800,1201900,1063400,1392300,1952100,10970900,564900,1860200,1721300,1927600,1533300,1496200,1176500,812400,3051700,1772700,835000,16809200,5258600,230600,2409800,1514000,414200,1826800,3430300,1592400,826500,2693900,1179200,3401100,9083400,13180400,3782400,134300,6779300,7295200,14904200,16267400,619800,13685900,602200,845900,1934500,5021600,497900,4080400,763900,9409600,4825600,569000,313000,1661100,984300,2096600
2021-08-03,2208200,3696200,5902700,1979600,17329600,1067300,1412200,441700,2726500,1859700,2346500,520500,1127200,1833300,1046900,763700,706900,424600,1482000,1674100,20762000,19064000,5416500,83146000,157723100,795600,36572600,2143500,3642000,1000000,912800,380700,875200,928800,2320400,3518800,3271200,280100,759500,3144200,9829400,64786600,5589600,781100,2236600,1481300,2964000,1044800,408900,37982515,532600,1043200,137800,344100,358100,4987700,1176500,39680600,4523100,6044300,4447100,622483,3630600,1265500,116200,618400,1326700,391600,7326400,269700,2021600,599200,7721500,8780200,1113500,385600,482500,1284600,1006400,1701800,4022200,724500,2011700,2868200,3234400,1438900,33254000,4994000,712400,3580500,610500,1166600,693500,820000,2756200,3852400,712300,2851100,1256700,352400,1064700,8437300,243500,2076800,1778500,1447400,380500,804700,17357400,21041500,6602100,9873100,1165800,1617300,8825500,3061600,3635700,11207500,1101600,3064400,9888200,1439900,1077100,,168500,1497400,3047300,3147200,1286100,1448100,5214500,1038500,5371700,1864500,7620300,1953400,2731800,619500,991500,14670600,1915100,10435600,2144400,4093400,1073300,1728800,1208800,1085800,2631000,2697300,460300,935800,4819700,1988500,787800,2398900,4088700,2753800,826300,2420900,5997800,1219800,1922300,2088100,4492500,682700,5406200,2193100,4428400,944300,4718300,147800,5632900,304000,1066500,354400,687400,2600900,476900,877700,1671400,6120431,2979200,1270200,1408600,18208200,899900,146400,612700,2718900,348200,2151100,13405600,4375400,,3270100,2760200,8642400,615700,745400,53257700,7555000,2521400,2652500,968900,3914300,17245400,636200,1501600,,3187000,939900,738600,18497640,2623900,12273500,613800,5128400,7111100,379100,1494600,11351700,1479100,899200,1276500,2718900,2012600,546500,2303100,5425500,3137300,1679700,2405900,1783000,1189800,9834000,2423700,8118100,945300,17478100,227100,4272596,2256200,7291800,468600,981400,797000,598700,1577800,2547900,303800,16375900,2199965,870800,976800,4322100,2185300,3910100,1049900,815700,6033000,426200,1039900,411100,889400,3574100,10394800,5297800,2561700,5675500,7653400,758700,1461000,39256700,20190400,925400,4772200,10302000,803800,1580900,684400,1303800,16185600,3012300,1269500,1113900,1133000,3007300,1461700,872900,2132900,2335100,1232900,792700,18169200,4892500,151700,2849100,1954700,288800,2391700,6328500,2354700,848500,3300000,1394200,3208500,9952400,12406100,3169200,96400,8330300,4502000,25807600,17879000,1248500,20424100,481000,508000,2020500,3766900,286900,3927600,520300,7044800,5978400,418700,321500,1821300,1473700,2579400
2021-08-04,2057000,3513400,4602000,1448300,19758100,1306800,1634600,495200,3475300,1786700,3592100,595800,3859000,2127400,1153700,493200,520700,564000,1132700,1109100,19676000,16528000,7383300,43678000,225368700,897400,30815400,3502600,3544400,1315100,1084800,339700,1708400,1085300,6952800,2179300,10201100,344300,805400,2895500,13805100,56368300,5434600,1609600,1311100,2232700,1891200,767900,454500,38980149,583900,1341800,139100,405000,389700,6517200,1719900,42289800,4305300,5994900,5005500,1063848,3024600,1134300,123900,1246000,1216600,390700,9756300,391600,2959400,516400,8099900,5857300,1212300,301200,653700,1006200,959400,1501800,4892100,588600,2545600,2722800,2574900,1043600,33239400,4619100,616700,2948700,675500,1713400,1219300,464200,2625300,3747300,1290500,2457600,798000,463200,1069300,10389800,268200,1835400,1522400,1754700,698500,413100,11662400,14416300,5936700,2556100,2170000,1571500,11888400,3366200,4194400,9507600,1072500,3574800,7629600,1862900,1167800,,251000,1632000,3160700,2159000,1701100,1280500,5897700,1291800,8050800,1154500,14338400,1585300,1053700,2133600,825500,23023700,2339800,12758800,4629200,2713700,828400,1471100,1384900,1091500,2192500,2835300,407900,910600,3340100,2115900,728400,2261800,2649900,2438400,460200,1571900,6715600,882000,1565200,2079300,2897400,785100,3892400,1928500,2027100,1264100,4964400,202500,6584800,637700,975800,351900,806700,6194500,335700,1249400,1209600,5471305,1396700,1042900,722400,20868300,421200,113000,613600,1855500,397500,1978800,4961000,3952900,,1794500,3254100,6085600,712200,1727300,81502700,6016000,1963400,2954600,893800,5131200,11763600,605100,964300,,4262700,742100,610300,18118848,4681100,67667200,454300,6846300,4024200,405300,1460500,15275900,1671100,553900,1528200,3129200,1160200,626500,1914800,10097200,2249500,1623600,1783700,2324000,1507400,9766300,5556500,6062600,951100,12851200,208800,2960285,1459000,7505400,358400,2313500,804200,898100,1648400,10410400,285500,17612700,1658659,709100,1285200,5165900,2583500,3913100,727700,1283700,4793100,271600,680400,392900,700800,3964400,10155000,3158000,3298600,4942700,7512400,598200,1274400,7976400,17313600,1161900,11007800,5364100,834400,1785800,1112000,1640700,11721600,1644300,1562600,1839400,1476700,4145100,1257400,1608100,1302600,3162200,1284500,765400,25777500,6118000,184500,3217700,1428300,321500,1493200,3203200,6548700,1048300,2240600,1280800,4045100,10893400,14180600,4924700,96400,9937700,6037800,29176900,16191300,952400,32251600,519300,478200,1531100,8212200,231300,3063400,726700,7137500,5817200,680500,300900,2186700,924500,2039400
2021-08-05,1575200,3258100,5132400,1952400,9871300,1158200,1010900,826000,2106100,1667600,4686400,1039100,1970500,2223800,2505200,426400,553200,612400,1210100,1941600,17870000,11866000,3720600,48670000,137860900,859300,42900900,2972700,2535400,1307700,525200,370700,1988900,885800,3294100,1899700,3468300,646100,647400,2883900,9413400,46397700,4282200,2125000,1219700,2330900,1304400,757200,261200,27837762,635700,1342800,109100,324500,280800,4565600,2710800,34754500,4796300,3979500,6988400,2559118,3584900,1907300,120400,967200,714900,349400,8362600,438400,1620100,539100,6471000,5484300,837200,255800,511200,1053400,703100,1003400,4103300,506700,1817300,2749500,9623800,542800,32938000,4508600,497800,2685800,492400,1377500,806600,835400,7259000,6344100,1554500,1755300,934400,448000,815500,7986100,215400,2524800,1128600,7961700,542600,443400,10785200,14361600,7003200,1969100,1314200,1315900,9806800,1949900,4135100,8723500,1182900,3523600,6573100,1740000,1087700,,205400,1369200,4570600,5051800,986300,1742600,5852700,1121700,6037200,1525300,11322500,1406800,1802700,1016000,794400,15652400,5220000,10407600,1796000,2331200,1107600,1315600,1171800,1018800,1587100,2519800,261800,809200,3037100,1879300,656400,2843600,3465200,4025200,636900,1280700,9926200,1232400,1475600,1652600,5516100,1695000,2262400,2086300,2134500,1109600,6534100,341300,5606100,569700,1218500,296200,769100,10977700,273300,1180800,1045200,5778063,4336500,977500,638700,15180200,326400,153900,409600,1754000,842700,2089700,4702500,3516200,,1115800,4001300,3642200,1052900,3454100,60524400,6621000,2026500,4856900,2500700,2484300,10531000,530300,887700,,6192500,745200,585600,10415555,2899500,28571400,518200,5532300,2596300,251500,1583800,8275900,1385500,507900,1147700,4247600,1038500,648400,1564600,4851100,1881300,1286000,2284000,1467200,1373600,8979800,5523100,4855100,1871900,14605600,176500,2884240,1600200,8390100,265800,1045500,556400,665700,1224000,6823600,562800,15310000,2107142,897000,1672200,3459300,2209100,3104800,508800,1621900,4291000,300600,373000,390000,423700,3350600,9151500,2185600,3628600,4421700,5549800,951800,1733000,7673300,13288900,730400,9560300,4246000,870800,1011500,596100,1368000,11698300,1245200,1490000,1848100,1586500,2465600,1619800,912600,864800,2335500,1191900,739600,22674600,7163100,193200,2250400,1365200,231900,1324600,2562400,4417200,908800,2230500,1832200,3711900,8701600,10247200,5779500,90500,10520700,3313400,14821000,13900200,492900,25571500,356600,258400,1220100,5693000,362400,4018400,620100,5675000,2873300,608100,271200,2025300,624000,2556700
2021-08-06,1116200,3550300,5340400,1392600,9692100,1127700,1342900,521400,3162900,1209300,4807600,809500,1482100,1499300,1651300,375000,656700,487400,1185600,2029200,20488000,13560000,4621800,52752000,143899000,1396100,28281000,2106900,2828700,1459900,1000300,379800,1116600,1174200,2363800,1529300,3164200,297700,546700,2009000,6047700,54126800,3843300,1053200,1050300,3110000,1259600,870700,349800,30562686,595200,856900,112500,299200,369500,6393300,3959400,58022300,5601600,3275800,2991200,1435410,4831900,1699600,129400,851200,822200,472000,6061900,457900,2849300,564600,5607500,6632900,996400,318100,546300,812400,664500,762200,3147100,560700,2600300,3394500,4583100,739100,30680700,4686200,653700,2677100,637500,978100,687000,541700,5405100,4921500,957300,2051500,1045600,307200,670000,6475600,135500,1802200,1232000,3906100,436900,327100,18386100,23915400,4402700,1542200,1629300,1405300,10409300,1753800,2877400,10589100,1210400,2984600,5038900,2218200,1392800,,222300,1864200,3584800,6031100,2063200,1789800,5245600,1171300,5975800,943000,7020900,1661400,1927900,523000,665400,11716100,1743000,7952500,2201600,1661600,758900,1235700,1602200,784400,1984500,2974700,254000,719300,3142800,1762400,733200,2617800,2214500,2614700,493200,1060000,8888300,961800,1451000,1594100,2401300,765600,2155200,1708000,2039300,1259600,4560900,321600,6543300,591000,875200,274900,550200,4167100,165800,886600,1072200,4871670,12102400,804100,583400,14888500,329100,123500,322500,2121800,413200,1701800,5823400,4426100,,2148500,1768700,4889500,821800,2269400,44450600,3981500,1813000,3837700,1236500,2853100,13856000,588700,675000,,3229500,760500,876500,14075884,3114100,14970100,550600,3857900,3401300,309000,3655800,7102600,1201000,573500,1047500,2748400,519500,444800,1566900,3664000,1717100,1261600,2656600,1327400,1307700,9576100,4706000,5730800,832100,12332000,156200,4002833,1505700,15364100,388900,1697900,753900,831800,979000,4598800,1922100,19256000,1826880,1040200,1488900,2976300,2580800,2750200,670900,1375700,4581100,312700,604800,404900,689400,1953000,13328800,3245100,2101100,5282700,6153500,587000,1339500,7372000,13490000,908400,8639400,4238000,670500,684800,606500,1137500,6931300,598200,1244300,1410900,858900,1937400,873600,704500,759400,2855000,1064400,958400,17117600,6352500,117500,2099800,2065900,210300,1653100,2038500,2641700,809400,1558600,925600,2414500,8670700,8925000,8175700,110700,6722300,3035600,14612600,16589300,420100,18924600,379300,248100,1351800,6275200,218500,9913400,527100,9317900,2525200,1252500,248900,1578300,1014900,1919800
2021-08-09,1193300,4271200,5277900,1225100,6082900,1118900,1322000,512700,2191000,982900,4388700,2273400,987000,1344900,1425200,422200,331000,439600,746800,1458700,17760000,12374000,4044500,42964000,115749900,1165100,32047600,1823400,2560200,1093300,985600,289700,627200,694700,2250300,1480100,2580800,318400,516900,1447500,11899100,48908700,4026600,973600,1090500,2585400,1350400,1054800,512600,33359504,642700,763000,109000,414400,453400,8412600,3397700,56340100,4641400,3126000,2286200,1526328,3676500,1346900,133800,1038400,1046800,347000,8358600,274000,1792300,363100,5918500,8154100,595200,316100,657700,718200,740100,508700,3230600,697700,1781500,2239500,3165600,877100,29949200,2423800,819100,2747200,617100,1272200,592200,593000,3786900,3778900,1358900,3726100,546300,236700,545000,9243100,159000,1630800,725900,2352700,276300,295000,8707200,15619800,3937300,1329400,767200,925400,8859900,2938700,2563700,12119200,1083800,2599500,5410600,1386300,936800,,258500,1080800,2131700,4724200,821300,1472500,5969400,874700,6174900,774800,4570300,1540400,3418800,555900,923300,10985000,1845200,7787100,4002000,2151200,1477100,1124300,2010900,1096800,2332100,3031400,258900,766800,3178100,1578300,802600,2435800,2178200,2480500,451500,1181200,7186400,880600,1291600,1594900,1722800,743900,3238500,1314500,1515200,1111300,3909300,300700,8372300,694300,816000,219600,726100,3241900,273800,850000,872900,3673100,3423200,735800,617600,17828200,297900,129500,254800,1402300,304200,1847600,2866900,4638400,,1310500,3368700,2355400,976300,914000,38760400,3624500,1225000,2084700,1183400,4678500,9479600,583000,452300,,3438100,473400,697900,10189971,1958600,16080000,438800,5160100,3212900,262700,3319100,7579400,1456600,369700,698300,3240800,768700,422200,1780300,4391000,1774600,1365400,1995300,1369800,1273600,6830400,2840200,5828400,667600,13269700,236200,5129689,1412900,11052600,240500,1632800,584300,487200,973200,2136400,702100,14670100,4702368,733100,1086000,2324600,2212000,3386100,541900,2254600,3950200,249500,630500,298600,568700,2754900,9516900,1911800,1902300,7122200,6129300,501200,1550600,5917200,13577300,748600,5585000,4509900,704600,672400,783100,1234300,8157000,557700,1049400,942000,910300,1587300,878900,945100,655200,2296200,1670000,775400,11800500,5451600,117200,3074900,994600,214500,1411300,2400800,2998200,655700,2093100,1000500,3411500,7867000,7798900,4281900,94700,5318000,2915000,13363300,16117600,290600,42269900,328800,290500,1045700,4784200,203500,5505400,510900,8297700,4936600,719500,325300,1650900,1220100,1367800
2021-08-10,1598400,4356900,5120800,918900,7770000,1540100,2574700,408200,3123200,1575900,7491300,1301100,695600,1621300,1977900,733700,513600,447400,711400,1455200,19414000,16034000,4770300,48252000,113012300,811200,31320900,2468800,3389500,1293200,624000,354100,989700,1237100,2860200,1341600,1943800,324800,566000,1527300,6778600,69023100,6403900,1284700,1127100,2726800,986400,873200,300200,29472770,471400,874900,163000,705400,349900,5117700,2015900,44987300,4596300,3130900,2377700,1757158,3134100,1315600,139400,659200,801200,382600,9603500,277500,1328800,520600,14862700,7415300,931900,359300,497700,985300,710400,782200,1563200,1023300,2165000,3442500,4340300,522700,34886200,3763200,530800,4193600,382100,1338300,774900,677400,4071600,5009700,1825900,3693800,604300,184800,587400,9762600,211100,1810700,968900,2370300,501500,249200,10441900,17920100,3475300,1124100,975000,808300,10906900,2645400,2740600,8229300,926400,2940800,6781800,1938500,1292000,,146100,2037800,3654100,3043700,1260500,1893700,4861100,1090900,10382800,918500,5908400,1553800,1439700,597900,1184000,13745300,1640000,8156400,3065200,2719400,895500,1589200,3267700,1080600,2483100,3931900,315800,771000,3560000,1790300,806200,2022100,2062900,1159200,459600,2058300,7358900,569600,1366000,2390400,2210400,744100,2060200,2247000,1398900,1270400,16155800,236900,3986800,505300,1430400,201300,531800,2804800,239100,686600,863200,4927890,1850400,823800,740100,16340200,313800,122800,427700,2618800,402000,2144700,3833600,4021300,,1490200,2190800,2929700,979700,1041200,32120800,3611000,1588200,2042200,1240100,2859300,17807400,396600,358900,,3521300,495400,596800,10319864,2677300,14479100,406600,5928200,4329300,387900,3152300,6891200,1962400,339300,1980400,5098800,1141700,557600,2314200,6880000,1637500,2397900,1868100,2388800,1257900,9708400,2001700,7458700,1015700,12459300,133100,5543695,1776400,9369900,349700,1269300,968200,546300,1193200,2676100,531800,16215700,2981827,855800,1800900,3129100,2115900,2475800,543700,1852400,3678300,244200,497400,424900,448400,2074500,8667000,1526400,1704400,5296300,7416600,680200,1735700,6025900,12468600,1476800,5581200,5590900,953100,480900,1624900,993500,6456800,862100,1040800,1201300,1448400,2204500,862700,842100,912800,2548300,1754300,586100,14036900,6051300,165800,1938900,2839400,480600,2269000,3225000,2819900,1520800,2027500,954900,4123800,11243100,7469900,7480600,95800,4826800,3420800,40705000,18616600,795500,36503700,273000,222000,2366000,5599400,255600,4374400,366400,8490500,5461200,605800,329800,1751400,826700,1960500
